row data from a station, file collection server YPEKA (data center), one measurement = 1 row. Columns: XX=to be ignored,  9999.90 = no instrument or no data (=empty field)

+- fixed code -+ - station ID -+- year -+-day of year-+-time (hh-mm)-+- CO -+- NO -+- NO2 -+- NOX -+- SO2 -+- O3 -+- MP 2.5 -+-  XX  -+-  XX  -+-  XX  -+-  XX  -+-  XX  -+-  XX  -+-  XX  -+-  XX  -+-  XX  -+-  XX  -+-  XX  -+-  XX  -+-  XX  -+-  XX  -+-  XX  -+-  XX  -+

160,                  111,        2012,    341,            0100,      0.68,  40.14,  32.36,  72.50,  4.52,   15.67,  9999.90, 9999.90, 9999.90,  9999.90,  12.80,  50.59,   4.50,    221.70,   19.45,  220.10,  13.42,   2.00,    7.93,    0.41,    3.38,     3.66,    10.45

** start of data ******************************************************************************************************************************************************************************************************************************************************
160,111,2012,342,0500,9999.90,1.00,8.71,7.96,9999.90,59.26,1.89,14.58,5.27,25.71,9.01,9999.90,1.69,229.20,18.17,224.20,12.49
160,111,2012,342,0600,9999.90,1.00,9.46,8.83,9999.90,60.07,1.98,15.97,5.24,32.01,9.06,9999.90,1.80,222.20,17.96,223.00,12.48
160,111,2012,342,0700,9999.90,1.00,16.33,16.38,9999.90,46.51,2.25,14.45,5.97,34.69,8.80,9999.90,1.64,206.10,17.78,220.40,12.47
160,111,2012,342,0800,9999.90,2.91,24.33,27.24,9999.90,36.10,3.79,14.24,5.74,40.12,8.91,9999.90,1.88,200.50,17.51,220.00,12.45
160,111,2012,342,0900,9999.90,3.11,22.72,25.84,9999.90,38.78,2.12,15.10,5.93,42.57,9.16,9999.90,1.57,225.20,17.33,220.10,12.41
160,111,2012,342,1000,9999.90,6.75,25.10,31.85,9999.90,34.64,2.20,15.09,6.07,50.65,9.91,9999.90,1.08,202.60,17.25,221.00,12.37
160,111,2012,342,1100,9999.90,3.94,15.80,19.74,9999.90,52.38,5.22,18.17,16.03,65.54,12.41,9999.90,1.26,234.70,17.75,221.40,12.42
160,111,2012,342,1200,9999.90,1.00,6.62,7.37,9999.90,65.78,19.94,36.79,17.68,81.30,12.86,9999.90,2.18,286.80,19.44,222.60,12.40
160,111,2012,342,1300,9999.90,1.00,6.13,6.86,9999.90,66.69,19.59,55.74,16.46,96.30,13.02,9999.90,2.08,269.90,21.36,223.00,12.37
160,111,2012,342,1400,9999.90,1.03,6.44,7.46,9999.90,67.57,19.30,75.10,17.00,113.00,13.09,9999.90,1.66,284.90,22.85,220.30,12.34
160,111,2012,342,1500,9999.90,1.17,9.62,10.79,9999.90,60.79,19.69,93.40,20.95,131.80,12.53,9999.90,1.63,331.70,23.62,220.70,12.33
160,111,2012,342,1600,9999.90,2.04,13.20,15.24,9999.90,57.88,11.50,103.20,11.13,144.20,12.30,9999.90,1.53,350.50,23.53,220.10,12.33
160,111,2012,342,1700,9999.90,1.00,11.44,12.07,9999.90,56.23,5.78,109.10,14.98,155.40,11.22,9999.90,0.99,51.61,22.79,219.60,12.34
160,111,2012,342,1800,9999.90,3.72,29.02,32.74,9999.90,29.29,7.84,115.60,8.86,166.10,10.12,9999.90,1.52,125.90,21.73,220.40,12.36
160,111,2012,342,1900,9999.90,1.21,15.84,17.04,9999.90,47.63,3.16,115.30,14.22,177.60,9.59,9999.90,2.11,138.00,20.55,220.10,12.38
160,111,2012,342,2000,9999.90,1.00,14.63,14.79,9999.90,53.00,2.02,111.50,4.24,175.30,10.25,9999.90,1.94,154.40,19.51,219.90,12.41
160,111,2012,342,2100,9999.90,1.00,10.04,9.73,9999.90,60.17,1.31,108.20,1.76,180.40,10.44,9999.90,2.16,155.00,18.86,220.80,12.42
160,111,2012,342,2200,9999.90,1.00,8.86,8.54,9999.90,60.07,4.59,112.30,9.97,192.80,9.96,9999.90,2.54,141.60,18.47,220.60,12.43
160,111,2012,342,2300,9999.90,1.00,9.36,8.88,9999.90,58.60,4.35,114.80,9.24,198.10,10.07,9999.90,1.85,163.90,18.15,221.80,12.43
160,111,2012,342,2400,9999.90,1.00,8.70,8.09,9999.90,59.84,4.84,30.63,9.73,15.77,9.97,9999.90,1.89,186.20,17.87,221.30,12.43
